OBJECTID,Animal_Id,Animal_Name,Animal_Type,Activity_Number,Intake_Type,Picked_up_Location,Intake_Date,Outcome_Type,Outcome_Date,Animal_Age,Animal_PrimaryColor,Animal_Sex,Outcome_SubType
77,A446513,KING,DOG,A21-463677,STRAY,MOONRISE CIR & NATOMAS CROSSING DR,2021/01/27 08:00:00+00,RTO,2021/01/27 08:00:00+00,9Y,BLACK,N,IMP 1
78,A447317,PICKLES,CAT,,OWNER SUR,,2021/02/11 08:00:00+00,EUTH VET,2021/02/11 08:00:00+00,9Y,BLACK,N,SICK
79,A447762,CINNAMON,DOG,,STRAY,MEADOWGATE DR & MANDY DR,2022/06/22 07:00:00+00,,2022/08/22 07:00:00+00,13Y,TRICOLOR,S,
80,A448368,SAMSON,DOG,A21-473306,CONFISCATE,SUMATRA DR & CAPPUCINO WAY,2021/09/04 07:00:00+00,EUTH,2021/09/28 07:00:00+00,7Y,TAN,N,BEHAVIOR
81,A448626,CLINTON,DOG,,FOSTER,,2019/12/05 08:00:00+00,ADOPTION,2019/12/05 08:00:00+00,8Y,BLACK,N,FOSTER
82,A450869,LOKI,DOG,A19-448193,CONFISCATE,2640 HAWTHORNE ST,2019/12/05 08:00:00+00,EUTH,2019/12/09 08:00:00+00,,CHOCOLATE,N,OWNER REQ
83,A450895,PAISLEE,DOG,A22-485344,STRAY,EMON TWIST AVE & DOCKSIDE ST,2022/05/31 07:00:00+00,ADOPTION,2022/06/06 07:00:00+00,8Y,WHITE,S,NORMAL
84,A451387,ZOEY,DOG,,STRAY,OAKMONT ST & CALVADOS AVE,2020/03/14 07:00:00+00,RTO,2020/03/14 07:00:00+00,16Y,BROWN,S,WEBSITE
85,A451729,POPELLE,DOG,,STRAY,,2022/02/10 08:00:00+00,RTO,2022/02/10 08:00:00+00,10Y,WHITE,N,PHONE
86,A455462,NINO,DOG,,FOSTER,,2021/02/16 08:00:00+00,ADOPTION,2021/02/16 08:00:00+00,10Y,BLACK,N,EMERGENCY
87,A455462,NINO,DOG,,STRAY,FRONT ST & BROADWAY,2021/01/28 08:00:00+00,FOSTER,2021/01/31 08:00:00+00,10Y,BLACK,N,EMERGENCY
88,A456944,KANE,DOG,A20-450238,STRAY,SUN DIAL WAY & DAYBURST WAY,2020/01/19 08:00:00+00,RTO,2020/01/19 08:00:00+00,10Y,BLACK,M,PHONE
89,A458034,MARCY,DOG,,CONFISCATE,7TH AVE & 53RD ST,2020/07/24 07:00:00+00,FOSTER,2020/08/06 07:00:00+00,8Y,BROWN,S,EMERGENCY
90,A458034,MARCY,DOG,,FOSTER,,2020/08/11 07:00:00+00,ADOPTION,2020/08/11 07:00:00+00,8Y,BROWN,S,EMERGENCY
91,A458365,LENNOX,DOG,A20-451895,STRAY,MEADOWBREEZE CT & WHISPER WOOD WAY,2020/02/22 08:00:00+00,RTO,2020/02/23 08:00:00+00,11Y,CREAM,N,PHONE
92,A458637,CANELA,DOG,,STRAY,7625 FREEPORT BLVD,2020/06/14 07:00:00+00,RTO,2020/06/14 07:00:00+00,15Y,TAN,F,PHONE
93,A459376,BODI,DOG,A22-488349,STRAY,47TH AVE & ROMACK CIR,2022/08/01 07:00:00+00,RTO,2022/08/01 07:00:00+00,13Y,BR BRINDLE,N,PHONE
